Entry,Underlying,POS,Definition,SC,Etymology,Related,Examples,Usage,Notes,Sources
payund,,na,"dipper, cup with handle",Manmade,,,,,,
naaniitus,,na,doll,Manmade,,,,,,
hoosus,,na,"kettle, pot",Manmade,,,,,,
pehpunawus,,na,mirror,Manmade,,,,,,
ambiilameekwaan,,na,needle,Manmade,,,,,,
aniixan,,na,shoelace,Manmade,,,,,,
ahkchiikuloos,,na,umbrella,Manmade,,,,,,
akumahkw,,na,cloud,Nature,,,,,,DED
alaangweew,,na,star,Nature,from Proto-Algonquian aθa·nkwa,,,,,
miikwan,,na,feather,Nature,from Proto-Algonquian mi·kwana,,,,,
mohkamuy,,na,ice,Nature,from Proto-Algonquian mexkwamya,,,,,
amiimunz,,na,child,People,,,Nii numoxoomus waak noohum kxanuwak nxah amiimunzal.;My grandfather and my grandmother had three children,,my child = niichaanus (NAD),When My Uncle Was Bewitched by Ethel Peters
amiimunzhush,,na,baby,People,amiimunz+-ush,,,,,
ndaaktul,,na,doctor,People,from English doctor,,,,,
oxkweesus,,na,girl,People,okxweew+-us+-us (small small woman),,"Nii nguk wunaxoo-kihkayiin, nal ha wa nzhiis, nal waak ktakan oxkweesus.;My mother was the oldest, then there was my uncle, then another girl.",,,
oxkweew,,na,woman,People,from Proto-Algonquian eθkwe·wa,,,,,
kihkaapeew,,na,bachelor,People,,,,,,
mehmoonzhuwees,,na,barber,People,,,,,,
weemacheekaniish,,na,little person,People,,,,,,
ehapiikwees,,na,musician,People,,,,,,
hwakees,,na,bark,Plants,,,,,,DED
asanakoonzhuy,,na,elderberry,Plants,from -oonzhuy,,,,,
wulaakanaamiinzhuy;wulaakanahoonzhuy,,na,elm,Plants,from -oonzhuy,,,,,
wiinoonzhuy,,na,onion,Plants,from -oonzhuy,,,,,
aapulush,,na,apple,Plants,from English apple,,,,,
saksak,,na,burr,Plants,,,,,,
peepaxkwuleesh,,na,flower,Plants,,,,,,
pwahkamaash,,na,plum,Plants,,,,,,
ohpun,,na,potato,Plants,,,,,,
eemhwaanus,,na,spoon,Manmade,from Proto-Algonquiane·mehkwa·na,,,,,
matantoow,,na,devil,,,,,,,
aweenahkeew,,na,foreigner,,,,,,,
chiipay,,na,ghost,,,,,,,
pahtamawaas,,na,God,,,,,,,
kapees,,na,twin,,,,,,,
kiimooxkweew,,na,witch,,kiimii-+oxkweew,,,,,
maanzhapuy,,na,bead,Manmade,,,,,,
*nanuw,,nad,cheek,Body,,,,,,
*niiskwan,,nad,elbow,Body,,,,,,
*nihkash,,nad,fingernail,Body,,,,,,
*ndeeh,,nad,heart,Body,,,,,,
*nangwan,,nad,heel,Body,,,,,,
*noox,,nad,father,Family,,,,,"noox (my father), koox (your father), ooxwal (his or her father)",http://www.native-languages.org/munsee_possession.htm
*miis,,nad,sister,Family,,,,,"numiis (my sister), kumiis (your sister), miisal (his or her sister)",http://www.native-languages.org/munsee_possession.htm
*nguk,,nad,mother,Family,,,"Nii nguk wunaxoo-kihkayiin, nal ha wa nzhiis, nal waak ktakan oxkweesus.;My mother was the oldest, then there was my uncle, then another girl.",,Mother (vocative) = ngukaa or ngukaash,When My Uncle Was Bewitched by Ethel Peters
*numoxoomus,,nad,grandfather,Family,,,Nii numoxoomus waak noohum kxanuwak nxah amiimunzal.;My grandfather and my grandmother had three children,,,When My Uncle Was Bewitched by Ethel Peters
*nooxum,,nad,grandmother,Family,,,Nii numoxoomus waak noohum kxanuwak nxah amiimunzal.;My grandfather and my grandmother had three children,,,When My Uncle Was Bewitched by Ethel Peters
*nzhiis,,nad,my uncle (mother's brother),Family,,,,,,When My Uncle Was Bewitched by Ethel Peters
*numiis,,nad,older sister,Family,from Proto-Algonquian -mihsa,,,,,
*nuwihtoonay,,nad,beard,Family,,,,,,
*ndaanus,,nad,daughter,Family,,,,,,
*nxum,,nad,daughter-in-law,Family,,,,,,
*ndaangwsoxkweew,,nad,female cousin,Family,,,,,,
*nooxwiis,,nad,grandchild,Family,,,,,,
*ndaatxooxwiis,,nad,great-grandchild,Family,,,,,,
*ndaangwus,,nad,male cousin,Family,,,,,,
